"","K543R.bam","K544R.bam","K545L.bam","K546R.bam","V541L.bam","V542L.bam","V548L.bam","V550L.bam"
"ENSRNOG00000011720",113,91,107,123,129,125,133,98
"ENSRNOG00000033517",440,641,623,608,599,505,714,560
"ENSRNOG00000039955",0,0,0,0,0,0,0,0
"ENSRNOG00000050801",2677,3276,2633,2726,2427,1859,2075,1994
"ENSRNOG00000049569",0,0,0,0,0,0,0,0
"ENSRNOG00000047783",90,122,38,59,122,137,123,125
"ENSRNOG00000011855",0,0,0,0,0,0,0,0
"ENSRNOG00000053931",0,0,2,0,0,0,0,0
"ENSRNOG00000026462",39,38,21,15,51,37,55,59
"ENSRNOG00000056218",0,0,0,0,0,0,0,0
"ENSRNOG00000047821",0,0,0,0,0,0,0,0
"ENSRNOG00000012346",705,803,646,511,756,833,960,983
"ENSRNOG00000013202",99,126,107,118,113,145,142,229
"ENSRNOG00000055111",359,505,331,162,669,542,748,788
"ENSRNOG00000054921",0,0,0,0,0,0,0,0
"ENSRNOG00000053999",0,0,0,0,0,0,0,0
"ENSRNOG00000052696",0,0,0,0,0,0,0,0
"ENSRNOG00000013304",911,1302,1079,1382,1236,1576,1457,1977
"ENSRNOG00000013422",1954,2459,1969,2334,1971,2249,2241,2146
"ENSRNOG00000013791",105,196,122,145,228,263,297,419
"ENSRNOG00000053913",0,0,0,0,0,2,0,0
"ENSRNOG00000013994",275,307,233,280,168,198,237,165
"ENSRNOG00000015036",0,0,0,0,0,0,0,0
"ENSRNOG00000015321",813,1039,907,1033,1012,934,1133,1229
"ENSRNOG00000015670",1255,1483,1279,1611,1508,1561,1743,1913
"ENSRNOG00000026096",0,0,0,0,0,0,0,0
"ENSRNOG00000056705",0,0,0,0,0,0,0,0
"ENSRNOG00000048934",0,0,0,0,0,0,0,0
"ENSRNOG00000030414",0,0,0,0,0,0,0,0
"ENSRNOG00000039872",0,0,0,0,0,0,0,0
"ENSRNOG00000048072",0,0,0,0,0,0,0,0
"ENSRNOG00000052726",0,0,0,0,0,0,0,0
"ENSRNOG00000048265",0,0,0,0,0,0,0,0
"ENSRNOG00000046903",0,0,0,0,0,0,0,0
"ENSRNOG00000045914",0,0,0,0,0,0,0,0
"ENSRNOG00000047825",0,0,0,0,0,0,0,0
"ENSRNOG00000046302",0,0,0,0,0,0,0,0
"ENSRNOG00000016095",0,0,0,0,0,0,0,0
"ENSRNOG00000016089",0,0,0,0,0,0,0,0
"ENSRNOG00000039869",1,0,0,0,0,0,0,0
"ENSRNOG00000029877",2,1,0,0,1,0,1,0
"ENSRNOG00000025982",0,0,0,0,0,0,0,0
"ENSRNOG00000025951",1,2,0,1,0,0,0,0
"ENSRNOG00000016073",35,24,37,38,13,16,40,28
"ENSRNOG00000016219",0,0,0,0,0,0,0,0
"ENSRNOG00000039865",0,0,0,0,0,0,0,0
"ENSRNOG00000016371",412,455,362,466,472,406,458,481
"ENSRNOG00000060376",24,33,18,35,35,13,23,35
"ENSRNOG00000016411",6229,8288,7005,9408,7390,6431,7911,6648
"ENSRNOG00000057952",23,20,12,25,19,10,19,16
"ENSRNOG00000061678",2,2,4,1,0,0,2,0
"ENSRNOG00000054517",16,6,14,26,18,9,13,8
"ENSRNOG00000016627",2,0,2,0,1,4,3,3
"ENSRNOG00000048248",462,540,449,590,543,613,636,757
