"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000010007",1809.03246322665,0.0811865705941836,0.0956592617908971,0.848705803016235,0.396045016360028,0.655178506063678
"ENSRNOG00000010037",798.73332132414,0.138261202757079,0.130005662273635,1.06350139170145,0.287554634395619,0.553530824937492
"ENSRNOG00000010531",1.42707857612048,1.46900696269045,1.55849677961776,0.942579402089453,0.345896079661977,NA
"ENSRNOG00000010892",836.976972856807,-0.251349887639982,0.0909083962153715,-2.76486989215504,0.00569455039749092,0.0446741334710898
"ENSRNOG00000010910",410.238077057193,0.00578455379916165,0.103481857988236,0.055899206987753,0.955422102575972,0.982198757765957
"ENSRNOG00000053078",2.98230109908107,-0.477695216444855,0.976643765245778,-0.48911919928618,0.62475730965116,NA
"ENSRNOG00000048288",226.179442833314,-0.436982281950527,0.190201888702206,-2.29746552430243,0.0215922275902663,0.111213508158789
"ENSRNOG00000055344",664.541166733262,0.0409237751352573,0.0830765197066688,0.492603388776435,0.622292853130769,0.816356191054238
"ENSRNOG00000050106",638.291273305654,-0.5123957859062,0.110930999882554,-4.61904955737069,3.85501785497165e-06,0.00015166399260518
"ENSRNOG00000061536",17.0485184128556,-0.66482237670489,0.463963968433773,-1.43291811851072,0.15188123872095,0.386217127005177
"ENSRNOG00000061662",23.3059355419591,-0.0681498317220307,0.339435323468822,-0.200774129886015,0.840875192376196,0.933376995206849
"ENSRNOG00000046922",473.094352797085,-0.207270600408367,0.141954856686515,-1.46011630208673,0.144258112984897,0.375010223562862
"ENSRNOG00000047303",279.002276072134,-0.0890602035383312,0.141989981595338,-0.627228784296535,0.530509277640455,0.758955618487796
"ENSRNOG00000042785",2597.34078258415,-0.205127486204248,0.118655154426992,-1.72877012545175,0.083850244941601,0.267793222956905
"ENSRNOG00000013300",1771.92425159834,-0.0864821907370146,0.112802101361154,-0.76667180569738,0.443276670858073,0.694910655894569
"ENSRNOG00000013255",1532.03158624502,0.0219316795985107,0.107048715801672,0.204875690794303,0.837669248289874,0.932197133653917
"ENSRNOG00000010396",884.264799011656,0.0586254815831831,0.118918210851568,0.492989939584261,0.622019695868356,0.816324891081458
"ENSRNOG00000024312",80.5671369645879,0.0232025345146738,0.200335359462138,0.115818468476899,0.907796413288989,0.960548796837136
"ENSRNOG00000042326",91.3523816634161,0.255266760434086,0.231632281887124,1.10203447617237,0.27044668351873,0.536302342114838
"ENSRNOG00000013005",575.71741402642,-0.0840499108616033,0.118917834560361,-0.706789786177455,0.479697122779567,0.722399891563914
"ENSRNOG00000012965",3.85044140703814,2.15446122779981,1.20418947705069,1.78913806245553,0.0735925835968925,NA
"ENSRNOG00000059550",510.362541462351,-0.0930847544368167,0.10616372595601,-0.876803763230649,0.380593234727987,0.642097164972082
"ENSRNOG00000060447",10.7082507859604,-0.753943383332632,0.499158557283581,-1.51042864502933,0.130934083975262,0.35342427999437
"ENSRNOG00000057829",5.82516266638239,-0.0928225236609455,0.714775203263604,-0.129862540330338,0.896675181744788,NA
"ENSRNOG00000011804",837.50231945546,-0.131765454990666,0.0873193023671758,-1.50900718877248,0.131296945693006,0.35390050005218
"ENSRNOG00000011254",167.177289845158,0.156275961246033,0.166808038829227,0.936861091005478,0.348830015801798,0.613614342634785
"ENSRNOG00000055754",1.77720137000094,0.0215451399948371,1.23109960286069,0.0175007285720611,0.986037151619585,NA
"ENSRNOG00000042855",208.970223962021,0.0958913183151223,0.167736041152264,0.571679870684895,0.56753887395786,0.781096357927994
"ENSRNOG00000009805",195.849983070351,0.178735834744702,0.152856583441639,1.16930413280462,0.242281118655301,0.504369701969925
"ENSRNOG00000009540",2.10940212279673,-0.470103985165239,1.10453758640126,-0.425611578051324,0.670390902248625,NA
"ENSRNOG00000009505",21.8359308115957,0.12532320276562,0.406526259628674,0.308278247216039,0.757870616758821,0.893768267476003
"ENSRNOG00000008936",10.8274367439688,0.515597264766548,0.484889004993888,1.06333049307449,0.287632101429005,0.553539613775298
"ENSRNOG00000008600",28.110910087767,0.0767706748998903,0.372798504349053,0.205930748123414,0.836845006644001,0.931778135611679
"ENSRNOG00000008564",108.717487934106,0.0614439431840174,0.167799917129855,0.366173858932647,0.71423534716771,0.869237706075736
"ENSRNOG00000008377",461.336985000354,-0.0529646833760815,0.117856483550908,-0.449399827487672,0.653143255739719,0.834269785655932
"ENSRNOG00000007982",448.134358988546,-0.24655278535412,0.111737312492741,-2.20653942585327,0.0273462528965315,0.131168729149314
"ENSRNOG00000056153",11.1767770388358,-0.632834820558034,0.502267593235054,-1.2599555079435,0.207685412860459,0.463333433186268
"ENSRNOG00000055936",41.4782364827734,1.07925837292569,0.470603850232,2.29334794518496,0.0218279809802291,0.111910776220715
"ENSRNOG00000055933",102.261575196407,-0.107073374000584,0.186001293718973,-0.57565929709263,0.56484549237216,0.779794877014874
"ENSRNOG00000051720",729.970781463614,-0.144967772185502,0.107946611127957,-1.34295806668411,0.179285552417562,0.425810196905396
"ENSRNOG00000007229",48.1061850530327,0.592708654649198,0.257101940117526,2.30534493196847,0.0211472629760356,0.109642313265305
"ENSRNOG00000007097",57.3056376336916,0.39842510172026,0.232731750743075,1.71194991851414,0.0869058982008457,0.274548152710223
"ENSRNOG00000007083",121.387552315738,-0.0610034795105251,0.198192124426176,-0.307799715488937,0.758234738092264,0.893858681901062
"ENSRNOG00000033153",6.4146164093784,-0.688176258420579,0.688563422081683,-0.999437722584895,0.317582693710407,0.583970670890026
"ENSRNOG00000058156",155.140679725428,0.122221115577681,0.141898967712579,0.861324909884077,0.38905911996151,0.649829717964748
"ENSRNOG00000000121",131.147540595763,0.355996049021388,0.171785050319696,2.07233428263328,0.0382342773950545,0.163273096760008
"ENSRNOG00000006137",1893.42294207827,0.0214970599572725,0.0868637367772671,0.247480257640705,0.804536568514669,0.918623483418328
